LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2016 22:13:30,0                 
Time,Ampl
-7.352315e-007,1.32399
-7.350315e-007,1.38799
-7.348315e-007,1.35599
-7.346315e-007,1.32399
-7.344315e-007,1.38799
-7.342315e-007,1.35599
-7.340315e-007,1.32399
-7.338315e-007,1.32399
-7.336315e-007,1.29199
-7.334315e-007,1.35599
-7.332315e-007,1.38799
-7.330315e-007,1.35599
-7.328315e-007,1.38799
-7.326315e-007,1.32399
-7.324315e-007,1.35599
-7.322315e-007,1.38799
-7.320315e-007,1.32399
-7.318315e-007,1.32399
-7.316315e-007,1.32399
-7.314315e-007,1.29199
-7.312315e-007,1.35599
-7.310315e-007,1.35599
-7.308315e-007,1.32399
-7.306315e-007,1.38799
-7.304315e-007,1.25999
-7.302315e-007,1.35599
-7.300315e-007,1.38799
-7.298315e-007,1.35599
-7.296315e-007,1.38799
-7.294315e-007,1.38799
-7.292315e-007,1.32399
-7.290315e-007,1.29199
-7.288315e-007,1.32399
-7.286315e-007,1.29199
-7.284315e-007,1.32399
-7.282315e-007,1.35599
-7.280315e-007,1.35599
-7.278315e-007,1.32399
-7.276315e-007,1.35599
-7.274315e-007,1.32399
-7.272315e-007,1.32399
-7.270315e-007,1.35599
-7.268315e-007,1.35599
-7.266315e-007,1.32399
-7.264315e-007,1.38799
-7.262315e-007,1.29199
-7.260315e-007,1.35599
-7.258315e-007,1.32399
-7.256315e-007,1.35599
-7.254315e-007,1.32399
-7.252315e-007,1.35599
-7.250315e-007,1.32399
-7.248315e-007,1.35599
-7.246315e-007,1.38799
-7.244315e-007,1.29199
-7.242315e-007,1.35599
-7.240315e-007,1.35599
-7.238315e-007,1.38799
-7.236315e-007,1.32399
-7.234315e-007,1.35599
-7.232315e-007,1.32399
-7.230315e-007,1.35599
-7.228315e-007,1.32399
-7.226315e-007,1.32399
-7.224315e-007,1.35599
-7.222315e-007,1.35599
-7.220315e-007,1.32399
-7.218315e-007,1.32399
-7.216315e-007,1.32399
-7.214315e-007,1.32399
-7.212315e-007,1.41999
-7.210315e-007,1.38799
-7.208315e-007,1.32399
-7.206315e-007,1.38799
-7.204315e-007,1.35599
-7.202315e-007,1.32399
-7.200315e-007,1.29199
-7.198315e-007,1.35599
-7.196315e-007,1.38799
-7.194315e-007,1.35599
-7.192315e-007,1.29199
-7.190315e-007,1.35599
-7.188315e-007,1.35599
-7.186315e-007,1.35599
-7.184315e-007,1.32399
-7.182315e-007,1.35599
-7.180315e-007,1.38799
-7.178315e-007,1.35599
-7.176315e-007,1.29199
-7.174315e-007,1.38799
-7.172315e-007,1.32399
-7.170315e-007,1.35599
-7.168315e-007,1.41999
-7.166315e-007,1.38799
-7.164315e-007,1.32399
-7.162315e-007,1.32399
-7.160315e-007,1.35599
-7.158315e-007,1.35599
-7.156315e-007,1.35599
-7.154315e-007,1.38799
-7.152315e-007,1.32399
-7.150315e-007,1.38799
-7.148315e-007,1.35599
-7.146315e-007,1.35599
-7.144315e-007,1.38799
-7.142315e-007,1.35599
-7.140315e-007,1.32399
-7.138315e-007,1.32399
-7.136315e-007,1.35599
-7.134315e-007,1.35599
-7.132315e-007,1.35599
-7.130315e-007,1.29199
-7.128315e-007,1.35599
-7.126315e-007,1.35599
-7.124315e-007,1.29199
-7.122315e-007,1.32399
-7.120315e-007,1.35599
-7.118315e-007,1.35599
-7.116315e-007,1.35599
-7.114315e-007,1.38799
-7.112315e-007,1.35599
-7.110315e-007,1.35599
-7.108315e-007,1.35599
-7.106315e-007,1.32399
-7.104315e-007,1.32399
-7.102315e-007,1.29199
-7.100315e-007,1.32399
-7.098315e-007,1.35599
-7.096315e-007,1.35599
-7.094315e-007,1.32399
-7.092315e-007,1.32399
-7.090315e-007,1.29199
-7.088315e-007,1.32399
-7.086315e-007,1.35599
-7.084315e-007,1.32399
-7.082315e-007,1.38799
-7.080315e-007,1.35599
-7.078315e-007,1.29199
-7.076315e-007,1.38799
-7.074315e-007,1.25999
-7.072315e-007,1.32399
-7.070315e-007,1.32399
